section,title,tag_type,description,phone1_label,phone1_number,phone2_label,phone2_number,link1_label,link1_url,link2_label,link2_url,link3_label,link3_url,tags
crisis,Veterans Crisis Line,urgent,"Free confidential support for veterans in crisis and those who care about them — available 24 hours a day, 7 days a week.",Call & press 1,988,Text,838255,Online Chat,https://www.veteranscrisisline.net/get-help-now/chat/,Visit Website,https://www.veteranscrisisline.net/,,crisis hotline suicide 988
crisis,Emergency Services — 911,urgent,"For life-threatening emergencies call 911 or go to the nearest emergency room. The Suicide & Crisis Lifeline (988) is also available.",Call Emergency,911,Suicide & Crisis Lifeline,988,SAMHSA Helpline,https://www.samhsa.gov/find-help/national-helpline,,,crisis emergency 911
crisis,RAINN — Sexual Assault Hotline,urgent,"RAINN (Rape Abuse & Incest National Network) connects survivors of sexual violence with local resources and confidential support 24/7.",Call,1-800-656-4673,Text START to,741741,Online Chat,https://hotline.rainn.org/online,Find Local Support,https://www.rainn.org/get-help,crisis sexual assault MST rape trauma
crisis,Crisis Text Line,urgent,"Free 24/7 crisis support via text message. Trained crisis counselors respond in minutes. Confidential and available anywhere in the US.",Text HOME to,741741,,,"About Crisis Text Line",https://www.crisistextline.org/,,,crisis text mental health 741741
crisis,Safe Helpline — Military Sexual Trauma,urgent,"DoD's confidential crisis support for military community members affected by sexual assault. Free, available 24/7.",Call,1-877-995-5247,,,"Online Chat & Resources",https://www.safehelpline.org/,,,MST sexual trauma military crisis DoD
crisis,National Domestic Violence Hotline,urgent,"24/7 support for veterans and military families experiencing intimate partner violence. Confidential advocates available by phone and chat.",Call,1-800-799-7233,Text START to,88788,Online Chat,https://www.thehotline.org/get-help/,Visit Website,https://www.thehotline.org/,domestic violence DV family safety crisis
crisis,SAMHSA National Helpline,urgent,"Free confidential treatment referral and information for substance use and mental health disorders — 24/7, 365 days a year.",Call,1-800-662-4357,,,"Find Treatment Near You",https://findtreatment.gov/,"SAMHSA Website",https://www.samhsa.gov/find-help/national-helpline,,substance abuse addiction mental health crisis
crisis,National Call Center for Homeless Veterans,urgent,"24/7 support and referrals for homeless veterans or those at risk of losing their housing. Connects you to your local VA.",Call,1-877-424-2365,,,"VA Homeless Programs",https://www.va.gov/homeless/,"Find a VA Location",https://www.va.gov/find-locations/,,homeless housing crisis veteran emergency
crisis,VA Vet Centers — Crisis Support,urgent,"VA Vet Centers provide readjustment counseling and crisis support for combat veterans and MST survivors — walk-ins welcome at 300+ locations.",Call,1-877-927-8387,,,"Find a Vet Center Near You",https://www.vetcenter.va.gov/,"What Vet Centers Offer",https://www.va.gov/find-locations/?facilityType=vet_center,,Vet Center readjustment crisis walk-in counseling
crisis,The Trevor Project — LGBTQ+ Veterans,urgent,"Crisis intervention and suicide prevention for LGBTQ+ people. Many veterans identify as LGBTQ+ and face unique challenges — confidential 24/7.",Call,1-866-488-7386,Text START to,678-678,Online Chat,https://www.thetrevorproject.org/get-help/,"Learn More",https://www.thetrevorproject.org/,LGBTQ+ gay lesbian bisexual transgender crisis
crisis,StrongHearts Native Helpline,urgent,"Culturally appropriate support for Native American, Alaska Native, and Indigenous veterans experiencing domestic or sexual violence.",Call,1-844-762-8483,,,"Online Chat",https://www.strongheartshelpline.org/,"About StrongHearts",https://www.strongheartshelpline.org/,Native American Alaska Native Indigenous domestic violence crisis
crisis,Military OneSource — Crisis Support,urgent,"Confidential non-medical counseling and crisis referral for active duty, Guard, Reserve, veterans within 365 days of separation, and families.",Call,1-800-342-9647,,,"Non-Medical Counseling",https://www.militaryonesource.mil/health-wellness/non-medical-counseling/,"Visit Military OneSource",https://www.militaryonesource.mil/,crisis counseling active duty Guard Reserve transition
mental-health,VA Mental Health Services,federal,"The VA provides a full range of free mental health services for eligible veterans: PTSD, depression, anxiety, substance use, and more.",,,,,Learn About Services,https://www.mentalhealth.va.gov/,Find a VA Clinic,https://www.va.gov/find-locations/,Enroll in VA Care,https://www.va.gov/health-care/apply/,PTSD depression anxiety mental health VA
mental-health,National Center for PTSD,federal,"Research, education, and treatment tools for PTSD — including the free PTSD Coach app and first-person veteran stories at AboutFace.",,,,,PTSD Resources,https://www.ptsd.va.gov/,Download PTSD Coach App,https://www.ptsd.va.gov/appvid/mobile/ptsdcoach_app.asp,AboutFace — Veteran Stories,https://www.ptsd.va.gov/apps/aboutface/,PTSD trauma treatment app veteran
mental-health,VA Telehealth & Mental Health Apps,federal,"Access mental health care remotely via VA Video Connect. Free apps: Mindfulness Coach, Insomnia Coach, Breathe2Relax, PTSD Coach, and more.",,,,,VA Telehealth Info,https://telehealth.va.gov/,Browse the VA App Store,https://mobile.va.gov/appstore,,,telehealth remote therapy app online mobile
mental-health,Give an Hour,nonprofit,"Network of licensed mental health professionals who provide completely free counseling to veterans, service members, and their families.",,,,,Find a Free Counselor,https://giveanhour.org/get-help/,How Give an Hour Works,https://giveanhour.org/,,,free counseling therapy mental health nonprofit
mental-health,Defense & Veterans Brain Injury Center,federal,"Resources and care coordination for veterans with traumatic brain injury (TBI), including referrals to VA Polytrauma Rehabilitation Centers.",,,,,TBI Information & Resources,https://dvbic.dcoe.mil/,Find a VA Polytrauma Center,https://www.va.gov/HEALTHBENEFITS/access/polytrauma_system_of_care.asp,,,TBI traumatic brain injury polytrauma
